,confidence_threshold,num_neighbours,remaining_cores,patch_auroc,patch_macro_acc,patch_avg_prec,patch_brier_score,patch_expected_calibration_error,core_auroc,core_macro_acc,core_avg_prec,core_brier_score,core_expected_calibration_error
23,0.1,15.0,3.0,0.7070456743240356,0.6466275453567505,0.7033549547195435,0.2328869942960514,0.026606984436511993,0.750402569770813,0.6650563478469849,0.7142317295074463,0.22633981776715523,0.0916920155286789
24,0.2,15.0,5.0,0.6831952929496765,0.6399586200714111,0.6600809097290039,0.23117996362267487,0.03755045309662819,0.7412500381469727,0.7124999761581421,0.6348080635070801,0.22452759866023989,0.12027561664581299
25,0.3,15.0,9.0,0.6878630518913269,0.6325159072875977,0.6397626399993896,0.2282033802888226,0.04227128252387047,0.7432778477668762,0.7032650709152222,0.6141391396522522,0.22410324345447874,0.12277764081954956
26,0.4,15.0,14.0,0.6681610345840454,0.6169593334197998,0.6075714230537415,0.22972555454257834,0.027990585193037987,0.7336377501487732,0.6817351579666138,0.6274440288543701,0.22613026495849647,0.10842432081699371
27,0.5,15.0,21.0,0.6687765121459961,0.6208528876304626,0.6022999286651611,0.22901131781885228,0.025825701653957367,0.746666669845581,0.7133333683013916,0.6465092897415161,0.22394234240575148,0.14676478505134583
28,0.6,15.0,27.0,0.6684770584106445,0.6205207109451294,0.600490391254425,0.2283405963973932,0.026839129626750946,0.7376811504364014,0.712028980255127,0.6549490690231323,0.224397044207256,0.1492767184972763
29,0.7,15.0,38.0,0.6683891415596008,0.6184712648391724,0.6005436778068542,0.22737083023765584,0.02781118080019951,0.7400000095367432,0.7078261375427246,0.642479658126831,0.2235408992673905,0.14977192878723145
30,0.8,15.0,45.0,0.6658424139022827,0.6146941184997559,0.5996080040931702,0.2272961485592745,0.027575658634305,0.7408695816993713,0.6969565153121948,0.6323902606964111,0.22351977518441893,0.14363957941532135
31,0.9,15.0,49.0,0.6662274599075317,0.6150535345077515,0.6005908846855164,0.2269807994462091,0.026517635211348534,0.7408695220947266,0.7036231756210327,0.6403099298477173,0.22326483746260306,0.15184438228607178
32,1.0,15.0,52.0,0.667640745639801,0.6157156825065613,0.6029646992683411,0.22653108945233835,0.026603497564792633,0.7437680959701538,0.6969565153121948,0.6437791585922241,0.22262297468537245,0.14036914706230164
33,0.0,20.0,1.0,0.6820652484893799,0.623641312122345,0.6879042387008667,0.236970000190817,0.115546315908432,0.6875,0.6335227489471436,0.7291713356971741,0.23435612876103235,0.0733749121427536
34,0.1,20.0,2.0,0.6920552849769592,0.6344523429870605,0.6904765963554382,0.23304777222159456,0.03629199415445328,0.7249215841293335,0.6637930870056152,0.6792402863502502,0.22889857272582942,0.059596121311187744
35,0.2,20.0,2.0,0.69610595703125,0.641029953956604,0.668799877166748,0.22981668930170815,0.04613777995109558,0.7614870071411133,0.7278613448143005,0.6574196219444275,0.2245579238567364,0.12784889340400696
36,0.3,20.0,6.0,0.6811791062355042,0.6262398958206177,0.6346753835678101,0.22903093733492924,0.038895271718502045,0.7314934730529785,0.6892857551574707,0.621697723865509,0.2259434751885815,0.11089636385440826
37,0.4,20.0,14.0,0.6672029495239258,0.6148530840873718,0.6107969284057617,0.23015270259242115,0.027563896030187607,0.7252252101898193,0.6977477669715881,0.6410926580429077,0.2262742418477802,0.1281246542930603
38,0.5,20.0,19.0,0.6743044257164001,0.6238119602203369,0.6096711754798889,0.22808574011294888,0.027982372790575027,0.7426086664199829,0.694492757320404,0.6495945453643799,0.2243180654245127,0.1321573704481125
39,0.6,20.0,27.0,0.6711370944976807,0.621273398399353,0.604062557220459,0.22764434430325983,0.030044108629226685,0.7379710674285889,0.7011594176292419,0.6467427611351013,0.22419460254667706,0.14054711163043976
40,0.7,20.0,37.0,0.6676246523857117,0.6175708770751953,0.600550651550293,0.22761031373928464,0.028841646388173103,0.7362319231033325,0.7078261375427246,0.6418148875236511,0.22410822720167461,0.1521500051021576
41,0.8,20.0,46.0,0.664907693862915,0.6138253211975098,0.5999922752380371,0.22739622516059066,0.026028551161289215,0.7408695816993713,0.7144927978515625,0.6300987601280212,0.223511712777515,0.16058433055877686
42,0.9,20.0,50.0,0.6650480031967163,0.614365816116333,0.6003286242485046,0.22721261715810484,0.02531401254236698,0.7402898669242859,0.6969565153121948,0.6428438425064087,0.22322952385137906,0.14356276392936707
43,1.0,20.0,52.0,0.667640745639801,0.6157156825065613,0.6029646992683411,0.22653108945233835,0.026603497564792633,0.7437680959701538,0.6969565153121948,0.6437791585922241,0.22262297468537245,0.14036914706230164
